"Sun",       0,
"Kerbin",    6759.05382711743,
"Mun",       7056.09357612909,
"Minmus",    5724.60000000001,
"Moho",      6815.00435501136,
"Eve",       7536.61665292841,
"Duna",      8263.10996562371,
"Ike",       12733.9327467492,
"Jool",      0,
"Laythe",    6059.55424236209,
"Vall",      7974.52483760193,
"Bop",       21754.262156833,
"Tylo",      12893.4613584777,
"Gilly",     6400.39049812863,
"Pol",       4888.69497612146,
"Dres",      5669.20180879324,
"Eeloo",     3794.43813910091,
"Sarnus",    0,
"Hale",      5917.9275542479,
"Ovok",      14000,
"Slate",     16397.8697013676,
"Tekto",     5872.85048790171,
"Urlum",     0,
"Polta",     8648.22080089382,
"Priax",     30482.5997350026,
"Wal",       20772.3312022432,
"Tal",       11776.4317787792,
"Neidon",    0,
"Thatmo",    4824.97575381224,
"Nissee",    8935.3501911361,
"Plock",     3329.89979442276,
"Karen",     4603.73030455748,
"Edas",      4942.97289685461,
"Vant",      19851.5194096466,
"Zore",      17725.1536979958,
"LintMikey", 1879.22773673955,
"Crokslev",  3699.61610356087,
"Geito",     660.23834053248,
"Havous",    66046.1191164597,
"Kal",       550.067425569995,
"KiKi",      16038.6623102996,
"Mracksis",  6372.71265279342,
"Flake",     245.757095884053,
"Ervo",      6879.48411968406,
"Archae",    4140.33273858564,
"Soden",     5187.82910606163,
"Lon",       2661.79592802436,
